reach_id,clayey_soil
1009647,0.0
1009699,0.0
1009698,0.0
1009728,0.0
1009665,1.0
1009752,0.0
1009710,1.0
1009808,1.0
1009804,0.0
1009832,0.0
1009885,0.0
1010106,0.0
1010140,0.0
1010139,0.0
1010121,0.0
1010120,0.0
1009840,1.0
1010344,0.0
1010301,1.0
1010288,1.0
1010404,1.0
1010423,1.0
1010366,0.0
1010388,1.0
1010548,1.0
1010556,1.0
1010387,1.0
1010306,1.0
1010300,0.0
1010461,1.0
1010462,1.0
1010398,1.0
1010367,1.0
1010219,0.0
1010218,0.0
1010287,0.0
1010299,0.0
1010326,0.0
1010350,0.0
1010474,1.0
1010660,1.0
1010848,1.0
1010847,1.0
1010665,0.0
1010490,1.0
1010424,0.0
1010371,0.0
1010360,0.0
1010359,1.0
1010422,1.0
